Number,Name,Address,Latitude,Longitude
6015,06015 - MAZET SAINT ANDRE DES ARTS,10 RUE ANDRE MAZET - 75006 PARIS,48.853751073467855,2.339113722899687
43006,43006 - MINIMES (VINCENNES),30 AVENUE DES MINIMES - 94300 VINCENNES,48.841486856300165,2.430793451133684
15054,15054 - CHANDON,293 RUE LECOURBE - 75015 PARIS,48.83797034201205,2.287582307043615
11043,11043 - CIRQUE D HIVER,PLACE PASDELOUP - 75011 PARIS,48.862650300140295,2.367053490449912
5024,05024 - PLACE MONGE,4 RUE DOLOMIEU - 75005 PARIS,48.84273504298964,2.352472437223356
15036,15036 - LAMBERT,102 RUE DE LA CROIX NIVERT - 75015 PARIS,48.84307638694992,2.29514141310447
42504,42504 - MALON (GENTILLY),FACE 59 RUE BENOIT MALON - 94250 GENTILLY,48.81444017962381,2.341070654172592
6107,06107 - CHERCHE MIDI,27 RUE DU CHERCHE MIDI 75006 PARIS,48.8502410871957,2.32755154921057
17029,17029 - PLACE AIMÉE MAILLART,29 RUE PIERRE DEMOURS - 75017 PARIS,48.88141110121936,2.29482820074442
13050,13050 - QUAI PANHARD ET LEVASSOR,23 QUAI PANHARD ET LEVASSOR - 75013 PARIS,48.828369893809565,2.384440354604646
14029,14029 - GERGOVIE VERCINGETORIX,112 RUE VERCINGETORIX - 75014 PARIS,48.83425924993043,2.313391647113252
10029,10029 - PLACE DE ROUBAIX,39 RUE DE DUNKERQUE - 75010 PARIS,48.88072668576597,2.351464333201903
10015,10015 - RECOLLETS,46 RUE LUCIE SAMPAIX - 75010 PARIS,48.874112916506824,2.362498528696257
6029,06029 - VAUGIRARD PRINCE,FACE 1 RUE DE VAUGIRARD - 75006 PARIS,48.84892295818577,2.341040508705961
12151,12151 - GARE DE LYON,GARE DE LYON - 75012 PARIS,48.8455150897939,2.3726498446286
19114,19114 - MANIN SECRETAN,31 RUE MANIN - 75019 PARIS,48.87927519569598,2.378637021920256
8025,08025 - MIROMESNIL,39 RUE DE MIROMESNIL - 75008 PARIS,48.873760472140056,2.315876308346374
14033,14033 - DAGUERRE GASSENDI,31 RUE FROIDEVAUX - 75014 PARIS,48.8356804441726,2.3282908220517
22011,22011 - MONTROSIER (NEUILLY),7 RUE MONTROSIER - 92200 NEUILLY,48.87944136963256,2.278535717122779
16110,16110 - OCTAVE FEUILLET,4-6 RUE OCTAVE FEUILLET - 75016 PARIS,48.8609983661382,2.27312852713658
16030,16030 - MIRABEAU,4 PLACE DE BARCELONE - 75016 PARIS,48.84766571002937,2.273556264965371
15049,15049 - PORTE DE VERSAILLES,2 AVENUE ERNEST RENAN - 75015 PARIS,48.83217944426036,2.287122261982559
19012,19012 - LALLY TOLLENDAL,5 RUE LALLY TOLLENDAL - 75019 PARIS,48.88270064422199,2.37469338894231
15053,15053 - LECOURBE,250 RUE LECOURBE - 75015 PARIS,48.83922209776229,2.291540507948998
18027,18027 - DAMREMONT ORDENER,102 RUE DAMREMONT - 75018 PARIS,48.893400392981874,2.336266523912805
6103,06103 - MEZIERES RENNES,16 RUE DE MEZIERES - 75006 PARIS,48.850297010217595,2.330446820277252
42006,42006 - BROSSOLETTE (IVRY),23 RUE PIERRE BROSSOLETTE - 94200 IVRY,48.816929720561234,2.381460319184223
17011,17011 - PORTE DE CLICHY FRAGONARD,4 RUE FRAGONARD - 75017 PARIS,48.894151383293696,2.314678001115381
6020,06020 - SAINT MICHEL DANTON,2 RUE DANTON - 75006 PARIS,48.85293041059132,2.342657392891206
11017,11017 - ALEXANDRE DUMAS,FACE 77 BOULEVARD DE CHARONNE - 75011 PARIS,48.854176040414856,2.396093495321842
14111,14111 - DENFERT-ROCHEREAU CASSINI,16 RUE CASSINI 75014 PARIS,48.8375492921975,2.33598303046652
11032,11032 - METALLOS,81 BIS RUE JP TIMBAUD - 75011 PARIS,48.86793796309799,2.377885515684799
21113,21113 - PETIT (CLICHY),2 RUE PETIT - 92110 CLICHY,48.8993483537726,2.29662648341284
11044,11044 - RICHARD LENOIR VOLTAIRE NORD,FACE 104 BOULEVARD RICHARD LENOIR - 75011 PARIS,48.86343198963591,2.37120861796012
3001,03001 - CHEMIN VERT BEAUMARCHAIS,69 BOULEVARD BEAUMARCHAIS - 75003 PARIS,48.85804405694242,2.367832659296124
20133,20133 - RASSELINS,2 RUE DES RASSELINS - 75020 PARIS,48.85352868594103,2.409615362775532
13047,13047 - BOUTROUX VITRY,1 AVENUE BOUTROUX - 75013 PARIS,48.822632842232245,2.377738433657617
34009,34009 - MAAR (SAINT OUEN),RUE DORA MAAR / GARE RER - 93400 SAINT OUEN,48.905269629379745,2.322171248688672
11001,11001 - BASTILLE RICHARD LENOIR,2 BOULEVARD RICHARD LENOIR - 75011 PARIS,48.85384822621097,2.369701488217501
3007,03007 - ARCHIVES PASTOURELLE,67 RUE DES ARCHIVES - 75003 PARIS,48.86240121191442,2.359447031946381
905,00905 - CONCORDE/BERGES DE SEINE (STATION MOBILE),BERGES DE SEINE, BAS DE LA BRETELLE AVAL CONCORDE - 75007 PARIS,48.863147,2.316318
15115,15115 - VAUGIRARD,25-31 BOULEVARD DE VAUGIRARD - 75015 PARIS,48.841325259808,2.31829155159271
5018,05018 - MUTUALITE,20 RUE MONGE - 75005 PARIS,48.84838576471672,2.350169939020645
35006,35006 - DELIZY (PANTIN),FACE AU 23 RUE DELIZY - 93500 PANTIN,48.89633193166097,2.409087652725976
4107,04107 - BEAUMARCHAIS,27 BOULEVARD BEAUMARCHAIS - 75004 PARIS,48.855501357701705,2.368429069929045
17050,17050 - BATIGNOLLES,1 RUE DES BATIGNOLLES - 75017 PARIS,48.88310390458221,2.323834749088381
5013,05013 - ULM ERASME,13 RUE ERASME - 75005 PARIS,48.8425479496716,2.344596649931604
13001,13001 - PORT ROYAL,51 BOULEVARD PORT ROYAL - 75013 PARIS,48.83772792097816,2.344664043426302
13103,13103 - SAINT MARCEL,89 BOULEVARD DE L'HOPITAL - 75013 PARIS,48.83772768745433,2.360460336476805
31704,31704 - HORNET (BAGNOLET),FACE AU 1 RUE JEANNE HORNET - 93170 BAGNOLET,48.873929200033544,2.427933579778934
4103,04103 - HOTEL DE VILLE,1 RUE DES ARCHIVES - 75004 PARIS,48.857203787697095,2.353976273618783
21013,21013 - GRENIER (BOULOGNE-BILLANCOURT),4 AVENUE PIERRE GRENIER - 92100 BOULOGNE-BILLANCOURT,48.82584693469992,2.248821391087721
11012,11012 - MONTREUIL VOLTAIRE,93 RUE DE MONTREUIL - 75011 PARIS,48.85050701184191,2.393075558274471
35001,35001 - JAURES 1 (PANTIN),168 AVENUE JEAN JAURES - 93500 PANTIN,48.91013709505388,2.399325633305226
21703,21703 - MARTINIE (VANVES),5-7 AVENUE MARCEL MARTINIE - 92170 VANVES,48.821049923459526,2.29130063072414
2101,02101 - BACHAUMONT,14 RUE BACHAUMONT - 75002 PARIS,48.866067150086806,2.345463652702569
